st_no,st_name,city,town
C1P9A0,三爺,高雄市,路竹區
C1R090,里港,屏東縣,里港鄉
C1R110,口社,屏東縣,三地門鄉
C1R120,上德文,屏東縣,三地門鄉
C1R130,阿禮,屏東縣,霧臺鄉
C1R140,瑪家,屏東縣,瑪家鄉
C1R160,新圍,屏東縣,鹽埔鄉
C1R170,屏東,屏東縣,屏東市
C1R180,三爺,高雄市,路竹區
C1R190,赤山,屏東縣,萬巒鄉
C1R200,龍泉,屏東縣,內埔鄉
C1R201,龍泉,屏東縣,內埔鄉
C1R210,麟洛,屏東縣,麟洛鄉
C1R230,南州,屏東縣,南州鄉
C1R240,來義,屏東縣,萬巒鄉
C1R250,力里,屏東縣,春日鄉
C1R260,春日,屏東縣,春日鄉
C1R290,石門山,屏東縣,牡丹鄉
C1R300,旭海,屏東縣,牡丹鄉
C1R310,壽卡,屏東縣,牡丹鄉
C1R320,車城,屏東縣,車城鄉
C1R330,枋山,屏東縣,枋山鄉
C1R340,牡丹,屏東縣,牡丹鄉
C1R440,大漢山,屏東縣,春日鄉
C1R610,西大武山,屏東縣,泰武鄉
C1S620,土阪,臺東縣,達仁鄉
C1S630,都蘭,臺東縣,東河鄉
C1S640,東河,臺東縣,東河鄉
C1S650,長濱,臺東縣,長濱鄉
C1S660,下馬,臺東縣,海端鄉
C1S670,摩天,臺東縣,海端鄉
C1S800,華源,臺東縣,太麻里鄉
C1S820,金峰,臺東縣,金峰鄉
C1S850,豐南,花蓮縣,富里鄉
C1S860,利嘉,臺東縣,卑南鄉
C1S870,南美山,臺東縣,成功鎮
C1S880,壽卡,臺東縣,達仁鄉
C1T800,洛韶,花蓮縣,秀林鄉
C1T810,慈恩,花蓮縣,秀林鄉
C1T830,布洛灣,花蓮縣,秀林鄉
C1T850,吉安,花蓮縣,吉安鄉
C1T860,銅門,花蓮縣,秀林鄉
C1T880,吳全城,花蓮縣,壽豐鄉
C1T890,壽豐,花蓮縣,壽豐鄉
C1T900,西林,花蓮縣,萬榮鄉
C1T910,東壙,花蓮縣,萬榮鄉
C1T920,中興,花蓮縣,壽豐鄉
C1T930,鳳林,花蓮縣,鳳林鎮
C1T940,大觀,花蓮縣,萬榮鄉
C1T950,太安,花蓮縣,萬榮鄉
C1T970,大農,花蓮縣,光復鄉
C1T980,龍澗,花蓮縣,秀林鄉
C1T990,高寮,花蓮縣,玉里鎮
C1U501,牛鬥,宜蘭縣,大同鄉
C1U511,古魯,宜蘭縣,大同鄉
C1U521,雙連埤,宜蘭縣,員山鄉
C1U580,北關,宜蘭縣,頭城鎮
C1U590,頭城,宜蘭縣,頭城鎮
C1U610,大礁溪,宜蘭縣,礁溪鄉
C1U620,壯圍,宜蘭縣,壯圍鄉
C1U630,再連,宜蘭縣,員山鄉
C1U660,三星,宜蘭縣,三星鄉
C1U670,寒溪,宜蘭縣,冬山鄉
C1U680,冬山,宜蘭縣,冬山鄉
C1U690,新寮,宜蘭縣,冬山鄉
C1U700,土場,宜蘭縣,大同鄉
C1U720,南山,宜蘭縣,大同鄉
C1U830,烏石鼻,宜蘭縣,蘇澳鎮
C1U840,東澳嶺,宜蘭縣,南澳鄉
C1U850,觀音海岸,宜蘭縣,南澳鄉
C1U860,頭城,宜蘭縣,頭城鎮
C1V160,達卡努瓦,高雄市,那瑪夏區
C1V170,排雲,高雄市,桃源區
C1V180,大寮,高雄市,大寮區
C1V190,南天池,高雄市,桃源區
C1V200,梅山,高雄市,桃源區
C1V210,復興,高雄市,桃源區
C1V220,小關山,高雄市,桃源區
C1V230,高中,高雄市,桃源區
C1V231,高中,高雄市,桃源區
C1V240,新發,高雄市,六龜區
C1V260,月眉,高雄市,杉林區
C1V270,溪南,高雄市,桃源區
C1V280,藤枝,高雄市,桃源區
C1V290,新集,高雄市,桃源區
C1V300,御油山,高雄市,桃源區
C1V320,吉東,高雄市,美濃區
C1V330,旗山,高雄市,旗山區
C1V340,大津,高雄市,六龜區
C1V350,溪埔,高雄市,大樹區
C1V360,木柵,高雄市,內門區
C1V380,路竹,高雄市,路竹區
C1V390,尖山,高雄市,燕巢區
C1V400,竹子腳,高雄市,燕巢區
C1V410,岡山,高雄市,橋頭區
C1V420,鳳雄,高雄市,大社區
C1V430,左營,高雄市,左營區
C1V440,鳳山,高雄市,鳳山區
C1V450,鳳森,高雄市,小港區
C1V451,鳳森,高雄市,小港區
C1V460,楠溪,高雄市,桃源區
C1V530,阿蓮,高雄市,阿蓮區
C1V570,吉東,高雄市,美濃區
C1V580,溪南(特生中心),高雄市,桃源區
C1V590,新發,高雄市,六龜區
C1V600,藤枝,高雄市,桃源區
C1V780,多納林道,高雄市,茂林區
C1X010,岸內,臺南市,鹽水區
C1X030,白河,臺南市,白河區
C1X040,東原,臺南市,東山區
C1X050,東河,臺南市,東山區
C1X060,下營,臺南市,下營區
C1X070,北門,臺南市,北門區
C1X090,七股,臺南市,七股區
C1Z010,卓樂,花蓮縣,卓溪鄉
C1Z020,明里,花蓮縣,富里鄉
C1Z030,紅葉,花蓮縣,萬榮鄉
C1Z040,立山,花蓮縣,卓溪鄉
C1Z090,三棧,花蓮縣,秀林鄉
C1Z120,壽豐,花蓮縣,壽豐鄉
C1Z130,銅門,花蓮縣,秀林鄉
